epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,9609.53,0.44604,0.28583,0.87181,0.9987,1,0.995,0.89057,0.33834,0.25696,0.53885,0.0008648,0.0008648,0.0008648
45,9808.26,0.44229,0.2835,0.86273,0.99938,1,0.995,0.87308,0.38843,0.23054,0.55355,0.0008384,0.0008384,0.0008384
46,10035.9,0.43316,0.27572,0.85813,0.99928,1,0.995,0.89691,0.33308,0.21085,0.5412,0.000812,0.000812,0.000812
47,10261.5,0.43438,0.28544,0.86824,0.99914,1,0.995,0.93122,0.2525,0.17784,0.5296,0.0007856,0.0007856,0.0007856
48,10488.8,0.44856,0.29198,0.86808,0.99938,1,0.995,0.90864,0.29508,0.32649,0.53408,0.0007592,0.0007592,0.0007592
49,10689.6,0.43607,0.28262,0.86081,0.99942,1,0.995,0.90996,0.289,0.26714,0.53021,0.0007328,0.0007328,0.0007328
50,10915.9,0.41534,0.26589,0.84888,0.99932,1,0.995,0.9213,0.27242,0.26188,0.53279,0.0007064,0.0007064,0.0007064
51,11141.8,0.43111,0.27525,0.86049,0.99923,1,0.995,0.90182,0.31075,0.87362,0.5351,0.00068,0.00068,0.00068
52,11368.8,0.41927,0.26567,0.8631,0.99953,1,0.995,0.91019,0.28061,0.22881,0.53059,0.0006536,0.0006536,0.0006536
53,11570.6,0.42222,0.27583,0.8591,0.99947,1,0.995,0.90901,0.30546,0.2431,0.53314,0.0006272,0.0006272,0.0006272
54,11796.6,0.43833,0.27461,0.86665,0.99712,1,0.995,0.89791,0.33192,0.28492,0.5432,0.0006008,0.0006008,0.0006008
55,12022,0.42631,0.28548,0.86681,0.99866,1,0.995,0.92116,0.27436,0.21839,0.53078,0.0005744,0.0005744,0.0005744
56,12248,0.39843,0.25834,0.85379,0.99947,1,0.995,0.90135,0.31035,0.20341,0.53631,0.000548,0.000548,0.000548
57,12475.1,0.41949,0.26786,0.86043,0.99957,1,0.995,0.91122,0.29565,0.22383,0.53363,0.0005216,0.0005216,0.0005216
58,12674.6,0.40427,0.2592,0.85664,0.99944,1,0.995,0.89545,0.32281,0.20775,0.53808,0.0004952,0.0004952,0.0004952
59,12902.1,0.39792,0.25346,0.84814,0.9973,1,0.995,0.9248,0.26442,0.17446,0.53168,0.0004688,0.0004688,0.0004688
60,13130.3,0.40092,0.25724,0.85839,0.99938,1,0.995,0.91875,0.27877,0.17918,0.529,0.0004424,0.0004424,0.0004424
61,13351.1,0.40082,0.24916,0.86258,0.99956,1,0.995,0.91975,0.2816,0.19174,0.53099,0.000416,0.000416,0.000416
62,13525.5,0.40239,0.25073,0.8555,0.99927,1,0.995,0.92474,0.28046,0.25156,0.52958,0.0003896,0.0003896,0.0003896
63,13745.6,0.37195,0.24024,0.85006,0.99945,1,0.995,0.92141,0.25832,0.17378,0.5273,0.0003632,0.0003632,0.0003632
64,13965.6,0.37822,0.24565,0.85313,0.99949,1,0.995,0.92643,0.26505,0.19449,0.52819,0.0003368,0.0003368,0.0003368
65,14183.7,0.37264,0.24198,0.84905,0.99826,1,0.995,0.92458,0.26939,0.1664,0.53144,0.0003104,0.0003104,0.0003104
66,14398.3,0.29642,0.17938,0.78019,0.99869,1,0.995,0.93714,0.25523,0.16785,0.5316,0.000284,0.000284,0.000284
67,14589.1,0.2936,0.17668,0.77815,0.99938,1,0.995,0.91303,0.29155,0.17024,0.535,0.0002576,0.0002576,0.0002576
68,14808.4,0.29686,0.17718,0.78552,0.9995,1,0.995,0.90873,0.29335,0.16726,0.5354,0.0002312,0.0002312,0.0002312
69,15026.1,0.29693,0.17779,0.78594,0.99952,1,0.995,0.92139,0.28391,0.16641,0.53231,0.0002048,0.0002048,0.0002048
70,15243.9,0.28015,0.17187,0.77334,0.99953,1,0.995,0.92677,0.26022,0.15717,0.53061,0.0001784,0.0001784,0.0001784
71,15434.6,0.28567,0.16966,0.78692,0.99954,1,0.995,0.93087,0.25294,0.15009,0.52732,0.000152,0.000152,0.000152
72,15655,0.27636,0.16392,0.78051,0.99953,1,0.995,0.92529,0.26181,0.15255,0.52739,0.0001256,0.0001256,0.0001256
73,15873.5,0.26831,0.16153,0.77423,0.99954,1,0.995,0.92979,0.24956,0.14363,0.52767,9.92e-05,9.92e-05,9.92e-05
74,16092.4,0.27578,0.1608,0.78144,0.99951,1,0.995,0.93668,0.24351,0.14342,0.52569,7.28e-05,7.28e-05,7.28e-05
75,16312.7,0.26997,0.16025,0.77958,0.99951,1,0.995,0.92643,0.25148,0.14472,0.5273,4.64e-05,4.64e-05,4.64e-05
